tweet,date,user_location,id,link
"Aunque esta vez no estuve muy pendiente del Miss Universe Colombia, mis favoritas son Quindio, Bolivar, Amazonas, Meta y Cauca. Una de las 5 se corona hoy.  FIN",2020-11-16 22:42:40,Bogotá,1328468559425654784,https://twitter.com/i/web/status/1328468559425654784
"Ajá, a qué hora es miss universe Colombia ?",2020-11-16 22:36:51,,1328467094514651145,https://twitter.com/i/web/status/1328467094514651145
"MISS UNIVERSE COLOMBIA 2020 - DAVIDSSOLOGY'S FINAL PREDICTION 🇨🇴

1. Meta
2. Cartagena
3. Bolivar
4. Santander
5. Cauca

TOP 10: Amazonas, Antioquia, Risaralda, Quindio, Casanare
TOP 16: Cundinamarca, Norte de Santander, Valle, Arauca, Tolima, Putumayo",2020-11-16 22:20:48,tu puta madre,1328463053101338624,https://twitter.com/i/web/status/1328463053101338624
Oficialmente declaró que Miss Universe Colombia su nueva canción será Dynamite 😊,2020-11-16 22:11:54,bogotá,1328460813619896325,https://twitter.com/i/web/status/1328460813619896325
Estoy que Miss Universe Colombia yaaaaa,2020-11-16 22:07:50,Colombia,1328459791715471362,https://twitter.com/i/web/status/1328459791715471362
"Las mujeres colombianas tienen encantos diferentes, pero la belleza, sin duda, está en TODAS. HOY, a las 8:00 p.m resaltaremos la de cada una de #NuestrasMujeres, Nuestra belleza,  en el evento de coronación de #MissUniverseColombia 😍👏https://t.co/Ze91SIawRr https://t.co/ohtWUEhj7V",2020-11-16 22:07:07,Colombia,1328459611964379136,https://twitter.com/i/web/status/1328459611964379136
"Mi 'Hot Pick' final de Miss Universe Colombia 2020. 
#MissUniversecolombia2020 #MissUniversoColombia2020 https://t.co/DVRmUTbyoy",2020-11-16 21:58:50,"Barranquilla, Colombia",1328457525516242947,https://twitter.com/i/web/status/1328457525516242947
Aquí esperando que sean las 8 para ver Miss Universe Colombia,2020-11-16 21:58:18,,1328457394003775493,https://twitter.com/i/web/status/1328457394003775493
"#Entretenimiento | Además de representar a Colombia en Miss Universo, estos son los premios que se llevará a casa la primera ganadora del nuevo certamen.
#MissUniverseColombia 
https://t.co/4AOYhUMXK8",2020-11-16 21:52:50,Colombia,1328456016741232641,https://twitter.com/i/web/status/1328456016741232641
"ay no, yo si me voy a ver el certamen de miss universe colombia porque amo todo eso y no me importan los conflictos que tuvieron el cnb y esa gente, pero yo de que lo veo con mi libreta me la veo, punto.",2020-11-16 21:52:12,colombia,1328455855822532613,https://twitter.com/i/web/status/1328455855822532613
Miss Universe Colombia?,2020-11-16 21:51:12,Bogotá D.C. - Colombia,1328455603811921923,https://twitter.com/i/web/status/1328455603811921923
"By the way, ¿creen que fue coincidencia que hayan hecho el comunicado hoy? ¿Cuando la organización Miss Universe Colombia va a eligir reina?",2020-11-16 21:49:48,,1328455252899753985,https://twitter.com/i/web/status/1328455252899753985
"Top Miss Universe Colombia: Bolívar, Cauca, Meta, Cartagena, Amazonas y Boyacá ❤️
#MissUniverseColombia",2020-11-16 21:45:55,Colombia,1328454273936416770,https://twitter.com/i/web/status/1328454273936416770
"Desde 1996, con Claudia Elena Vásquez, Antioquia no tiene la corona nacional ¿Podrá este año de quedarse con ella? Estos son los cambios que estrena hoy el concurso:    
https://t.co/tAHieVXD0s",2020-11-16 21:30:00,Medellín,1328450269777051649,https://twitter.com/i/web/status/1328450269777051649
"Hoy no solo se elige a la Miss Universe Colombia, también se elige a la Miss Tocuyo Colombia.  #MissUniverseColombia",2020-11-16 21:24:50,Bogotá / Buenos Aires,1328448968100093959,https://twitter.com/i/web/status/1328448968100093959
@cfcifuentesa Y en este momento a quien le importa el tal miss universe Colombia,2020-11-16 21:09:27,,1328445096656859138,https://twitter.com/i/web/status/1328445096656859138
