tweet,date,user_location,id,link
"Ya en Colombia, cualquiera es Técnico de Fútbol , Influencer, Cantante y  Miss Universo .",2020-11-17 13:59:01,"Valledupar, Colombia",1328699166252478464,https://twitter.com/i/web/status/1328699166252478464
"Quién es Laura Olascuaga, la nueva Miss Colombia https://t.co/SuIloFl30a",2020-11-17 13:58:32,,1328699041790701568,https://twitter.com/i/web/status/1328699041790701568
"El concurso del día de ayer, pertenecía a la elección y coronación de la representante de Miss Universo para Colombia en el certamen del 2021. Maria Fda Aristizabal, actual Srta Colombia, seguirá como reina durante el 2021, ya lo anunciaron en redes @RadioPlaneta969",2020-11-17 13:56:59,,1328698653364670466,https://twitter.com/i/web/status/1328698653364670466
@rcnradio Ya valió Miss Universo ya que Colombia tampo brillará esta ves 😂,2020-11-17 13:55:44,,1328698339538440194,https://twitter.com/i/web/status/1328698339538440194
¿Se rajaron? Así contestaron las seis finalistas a Miss Universe Colombia https://t.co/LGeQFpHr7c,2020-11-17 13:54:32,"Bogotá, Colombia",1328698036332101632,https://twitter.com/i/web/status/1328698036332101632
"La candidata de Bolívar, Laura Olascuaga (@laura_olascuaga), fue coronada 👑este 16 de noviembre como la nueva Miss Colombia que representará al país en Miss Universo.👉https://t.co/SDHvSAK1MI https://t.co/LueDiy0Yjo",2020-11-17 13:53:09,Colombia,1328697687756169217,https://twitter.com/i/web/status/1328697687756169217
El Miss Universe Colombia ese es cule burla.,2020-11-17 13:52:36,Colombia,1328697551634227202,https://twitter.com/i/web/status/1328697551634227202
"Amanecimos con el 98% de San Andrés y Providencia devastados, familias y animales damnificados pero lo importante es que hay Miss Universe Colombia.",2020-11-17 13:52:19,"Bogota, Colombia",1328697478909190148,https://twitter.com/i/web/status/1328697478909190148
"Cuando tengas un mal día, recuerda que el presentador de Miss Universe Colombia le puso el micrófono a una mujer sordomuda. https://t.co/UKcudIxyF3",2020-11-17 13:52:14,,1328697455614042114,https://twitter.com/i/web/status/1328697455614042114
¿Es cierto que el Miss Colombia fue pura tramoya? 👀,2020-11-17 13:51:49,"Lima, Peru",1328697354346762242,https://twitter.com/i/web/status/1328697354346762242
De las cosas que me entero en Twitter. Ya ganó una? Alguien que lo haya visto y me explique. Miss Universe? Colombia? Que pasó anoche? https://t.co/PHWnATvJ6B,2020-11-17 13:51:22,Bogotá-Colombia,1328697239569653760,https://twitter.com/i/web/status/1328697239569653760
"#SOCIALES ▏Bolívar, Miss Universo Colombia

🔎 https://t.co/pHiIZDkCYa https://t.co/UABmb2TFGt",2020-11-17 13:50:28,"Santa Marta, Colombia",1328697013739917312,https://twitter.com/i/web/status/1328697013739917312
El mierdero que hay en las cuentas de miss universo Colombia y en las cuentas de los familiares de las demás candidatas jajajaja nunca había visto algo así 🤣🤣,2020-11-17 13:50:22,,1328696988335022082,https://twitter.com/i/web/status/1328696988335022082
Representante de Bolívar se llevó la corona del Miss Universe Colombia https://t.co/HNrz5tbIkZ,2020-11-17 13:50:14,Pereira/Risaralda,1328696953941749767,https://twitter.com/i/web/status/1328696953941749767
"Lujosos premios que recibe Laura Olascuaga, nueva Miss Universe Colombia

https://t.co/HMoYRb0jQn",2020-11-17 13:50:14,"Duitama, Colombia",1328696952633036801,https://twitter.com/i/web/status/1328696952633036801
Nueva Miss Universe Colombia 2020 https://t.co/RzsbiwHGKN https://t.co/pEXdbQHu6Z,2020-11-17 13:50:04,"Pereira, Colombia",1328696912640405504,https://twitter.com/i/web/status/1328696912640405504
Miss Universe Colombia: Bolívar se llevó la corona del certamen https://t.co/2qoiFCN8TO,2020-11-17 13:48:31,PLANETA TIERRA,1328696520716267523,https://twitter.com/i/web/status/1328696520716267523
"@luchirincon3 El Miss Colombia, amiga 🤦🤦🤦",2020-11-17 13:47:17,,1328696212971810817,https://twitter.com/i/web/status/1328696212971810817
"Esta nueva franquicia de Miss universe Colombia no se en que se basa para escoger a sus representantes, pero en belleza, preparación e intelecto no es.",2020-11-17 13:47:14,,1328696199101214721,https://twitter.com/i/web/status/1328696199101214721
Colombia pudo enviar a Miss Meta (Juliana Franco) y mínimo top 3 en el miss universo. Divina esa niña t.t,2020-11-17 13:45:01,"Lima, Peru",1328695639832719360,https://twitter.com/i/web/status/1328695639832719360
@QueIlloFCB Ayer en el reinado de miss Colombia 🤦,2020-11-17 13:44:52,Eᥒ ᥱᥣ tᥱmρᥣo dᥱ ᥣos Dιosᥱs 👑,1328695605292576772,https://twitter.com/i/web/status/1328695605292576772
"@sumarsimo Cuál señorita Cesar? Te metes a esa vaina y seguro ganas el título de Miss Colombia, ponte pilas",2020-11-17 13:44:12,250414,1328695434345373696,https://twitter.com/i/web/status/1328695434345373696
Así amanecí con las reacciones de la nueva miss Colombia. Nuestros hermanos parece que no la quieren. Tramoyaaaaa https://t.co/5MR3Rqs21Z,2020-11-17 13:41:43,"Lima, Peru",1328694812330106880,https://twitter.com/i/web/status/1328694812330106880
"Ay, yo si estoy feliz con Laura Olascuaga de MISS UNIVERSE COLOMBIA👑 

La pelá lo trabajó!❤️

#MissUniverseColombia @laura_olascuaga",2020-11-17 13:41:16,"Barranquilla, Colombia",1328694697355841539,https://twitter.com/i/web/status/1328694697355841539
"🔴 Sabían que la señorita Bolivar
Fue virreina en otra concurso de miss colombia
y ahora es la nueva miss Colombia 2020

Por qué la Organización de @ReinadoColombia 
Permitió volverla a participar de nuevo. ???????

#MissUniversecolombia2020 #MissUniverseColombia #MissColombia https://t.co/xD1oFg2C8H",2020-11-17 13:41:04,Amazonas,1328694648609632257,https://twitter.com/i/web/status/1328694648609632257
Y esa fue la miss Colombia que renunció en 2018 🤣 https://t.co/ywMkAMVytg,2020-11-17 13:40:47,Barranquilla,1328694576517947392,https://twitter.com/i/web/status/1328694576517947392
"Representante de Bolívar, Laura Olascuaga, se coronó como la nueva Miss Universo Colombia 2020. https://t.co/ZOUNX8Ir3P https://t.co/gmZTfZd1ow",2020-11-17 13:39:13,"Riohacha, La Guajira",1328694180412067842,https://twitter.com/i/web/status/1328694180412067842
@miss_coronas A Una Miss Colombia se le exige mas en cuerpo que en rostro en Miss Universo 🤷🏻‍♂️,2020-11-17 13:35:29,"Palma, España",1328693241529634817,https://twitter.com/i/web/status/1328693241529634817
@Veronik1140 Ella no nos puede representar por que hace parta del CNB y miss universe Colombia  le ofreció que ella fuera la representante pero la ese señor angulo puso demasiadas condiciones y peor eso no llegaron a ningún acuerdo,2020-11-17 13:35:17,,1328693193496473610,https://twitter.com/i/web/status/1328693193496473610
"Laura Olascuaga, ganadora de Miss Universo Colombia 2020: finalistas, semifinalistas y resultados https://t.co/VJTeSt38Ub #mybeautyqueens https://t.co/d3Ta8gQKvX",2020-11-17 13:35:02,,1328693127704686593,https://twitter.com/i/web/status/1328693127704686593
"@NadaInfluyente Sí, cambió su administración y todo. Ya no lo representa como Señorita Colombia como en años anteriores, ahora se llama Miss Universo Colombia",2020-11-17 13:34:23,"Cali, Colombia",1328692963988353025,https://twitter.com/i/web/status/1328692963988353025
"Buen día #colombia amaneces hoy con una de las peores tragedias climáticas, pero con una Miss Universe Colombia. Ojalá te reconforte",2020-11-17 13:33:38,"Bogotá, D.C., Colombia",1328692774783381508,https://twitter.com/i/web/status/1328692774783381508
Una joven sorda se colocó como primera finalista. https://t.co/kRLrUy8DkB,2020-11-17 13:33:11,Puerto Rico,1328692663177109504,https://twitter.com/i/web/status/1328692663177109504
No les importa sino miss Colombia pero miss sentimientos les vale verga 💔,2020-11-17 13:31:13,,1328692169989902337,https://twitter.com/i/web/status/1328692169989902337
Resumen del Miss universe Colombia: https://t.co/QGNkAHBycV,2020-11-17 13:31:08,"Montería, Colombia",1328692145700605953,https://twitter.com/i/web/status/1328692145700605953
"¿Qué opina de la selección? Estas son las 16 finalistas de Miss Universe Colombia

https://t.co/OHzEMBM5V5",2020-11-17 13:30:00,Manizales - Caldas,1328691861603508231,https://twitter.com/i/web/status/1328691861603508231
Entonces el Miss Universo Colombia estaba armado ya con la finalista. baia baia,2020-11-17 13:29:58,colombia,1328691852246134784,https://twitter.com/i/web/status/1328691852246134784
@dcarosilva Miss colombia 🥰🥰 https://t.co/8MqATaRbyi,2020-11-17 13:28:29,Colombia,1328691480395980801,https://twitter.com/i/web/status/1328691480395980801
Miss Universe Colombia es como cuando los gringos juegan una Serie Mundial de Baseball entre ellos.,2020-11-17 13:27:57,,1328691346106880000,https://twitter.com/i/web/status/1328691346106880000
"Aca el enlace:
https://t.co/n5QL1Pnkml",2020-11-17 13:27:07,COLOMBIA,1328691134500057089,https://twitter.com/i/web/status/1328691134500057089
"Lujosos premios que recibe Laura Olascuaga, nueva Miss Universe Colombia https://t.co/ZNJt87s74a",2020-11-17 13:27:05,"Bogotá, Colombia",1328691127927656449,https://twitter.com/i/web/status/1328691127927656449
Miss universe Colombia? No entendí,2020-11-17 13:25:53,"Magangué, Colombia",1328690825535086593,https://twitter.com/i/web/status/1328690825535086593
